Measurement Byte ACCESS
1000 5 1
700 10 0
714 10 1
1000 5 1
657 10 1
497 6 0
653 0 1
477 7 1
642 7 1
633 8 1
624 1 1
685 11 1
505 3 0
663 14 0
629 1 1
623 10 0
661 12 1
623 2 1
635 8 1
461 3 0
463 12 0
652 4 1
668 8 0
461 10 0
458 10 0
1000 14 0
629 1 0
621 10 1
462 13 0
459 5 0
634 10 0
637 8 1
466 3 0
462 3 0
618 14 0
635 15 1
664 4 1
643 14 1
615 9 1
623 4 0
636 15 1
635 12 1
625 14 1
669 5 1
626 12 1
458 12 0
1000 11 1
630 1 1
472 0 0
657 2 0
614 14 0
683 9 0
413 0 1
665 14 1
461 3 0
653 1 1
622 11 0
460 14 0
636 14 0
624 7 0
619 9 1
619 8 0
612 14 1
623 14 0
622 2 0
460 15 0
462 13 0
631 1 1
1000 14 0
619 13 1
663 12 0
1000 2 0
687 15 1
620 10 0
462 6 0
460 13 0
627 2 0
626 8 1
461 8 1
475 12 0
470 12 1
452 5 1
622 5 0
469 11 0
456 8 1
641 5 1
462 6 0
628 13 1
466 1 0
1000 9 0
670 13 0
669 8 0
627 6 0
627 14 1
669 11 1
671 8 0
623 12 1
471 5 0
676 5 1
462 2 0
667 6 1
615 2 1
634 9 0
662 2 1
704 7 1
657 12 1
625 9 0
464 15 0
636 6 0
464 2 0
1000 15 0
659 15 0
410 9 1
460 3 0
622 14 0
667 12 1
629 6 0
661 9 1
618 4 0
620 0 1
619 10 0
410 11 1
459 3 0
462 15 0
673 5 0
653 13 0
619 10 0
655 13 0
615 14 1
627 14 1
408 8 1
458 1 0
1000 15 0
661 10 1
678 0 0
465 15 0
495 3 0
631 8 1
465 8 0
623 4 0
413 4 0
691 7 1
657 11 0
683 6 0
470 4 0
615 7 1
467 9 0
683 5 1
631 15 0
633 15 0
637 1 1
470 5 1
618 2 0
635 1 1
1000 0 0
653 0 0
657 12 1
657 1 0
476 7 0
667 13 0
464 11 0
625 6 1
468 3 0
412 9 1
634 9 0
690 10 0
460 4 0
460 3 0
719 5 0
461 3 0
468 0 0
693 9 0
667 6 1
422 10 0
684 0 1
666 14 0
1000 6 0
673 7 0
661 15 1
673 8 1
474 13 0
465 7 0
679 1 0
659 7 1
655 14 0
694 8 1
625 5 1
627 8 0
693 5 0
459 5 0
629 10 0
665 7 0
621 6 1
647 9 1
681 10 0
614 10 1
462 14 0
1000 2 1
681 0 1
748 2 1
471 7 0
624 6 0
657 1 0
661 13 0
665 9 1
633 0 0
452 0 1
683 6 1
454 12 0
462 14 0
678 15 0
677 1 0
675 14 0
626 0 1
614 5 1
625 1 1
481 8 0
652 10 0
481 9 0
1000 0 0
459 5 0
671 15 1
659 7 0
687 1 0
628 10 0
628 5 0
665 4 1
624 14 1
615 0 1
667 2 0
663 9 1
679 12 1
736 7 1
462 8 0
629 8 0
665 2 0
663 0 0
628 14 1
481 4 1
462 3 0
1000 0 0
629 5 1
627 2 0
692 8 0
673 8 1
619 11 0
454 14 1
691 13 0
629 5 1
630 12 0
626 10 0
459 9 0
464 4 0
459 6 0
688 2 0
665 13 0
663 6 0
685 8 1
670 14 1
672 1 0
483 6 0
673 10 0
1000 1 0
662 15 0
708 15 0
477 11 0
675 14 0
664 9 1
464 6 0
695 9 0
669 0 0
458 3 0
460 2 0
617 0 1
667 5 0
464 3 0
422 8 0
665 11 0
631 5 1
675 11 1
454 10 0
635 8 1
689 11 0
462 3 0
1000 14 1
684 7 0
661 0 0
689 11 1
468 6 0
665 4 1
688 9 1
453 2 0
659 8 0
637 9 1
412 2 1
664 5 1
482 3 0
714 13 1
653 7 0
685 6 1
673 7 1
665 0 1
459 3 0
688 0 1
631 0 1
454 14 0
1000 11 1
619 6 0
462 8 0
461 3 0
470 14 0
669 11 0
664 13 1
661 14 0
469 3 0
480 11 0
619 4 0
655 8 1
471 14 0
460 10 0
663 1 1
680 4 0
674 2 0
657 2 0
661 10 0
668 7 1
679 10 0
685 1 1
1000 2 0
462 3 0
467 8 0
661 7 0
499 3 0
461 3 0
452 12 0
624 12 1
469 14 0
662 2 0
655 0 0
673 2 1
686 0 1
462 10 0
460 3 0
461 5 0
683 4 1
689 13 0
665 15 1
468 12 0
690 8 1
657 4 0
460 10 0
1000 4 0
680 9 1
697 11 0
690 5 1
669 4 0
689 14 1
675 11 0
651 11 0
482 6 1
681 12 1
684 1 0
468 5 0
663 11 0
698 14 0
665 15 1
677 4 0
659 13 0
693 7 1
665 13 1
694 2 0
664 4 1
1000 6 1
621 11 0
693 11 0
690 4 0
663 12 0
683 13 0
661 11 0
652 0 0
674 4 0
475 4 0
679 15 0
677 11 0
659 15 0
673 4 1
