Measurement Byte ACCESS
520 14 0
515 2 0
472 14 0
762 4 1
464 2 1
472 12 0
462 4 0
488 11 0
466 13 1
466 5 0
470 14 0
462 12 0
462 11 0
466 2 1
466 0 1
466 15 0
1000 11 0
468 2 1
468 13 1
470 4 0
267 5 1
465 13 1
468 5 0
474 1 1
466 4 0
246 14 1
469 8 0
463 1 1
460 11 1
1000 3 0
466 4 0
247 4 0
470 7 1
472 3 0
468 10 1
470 1 0
470 0 1
472 9 0
464 15 0
462 0 1
489 9 0
247 0 0
463 1 0
245 12 0
468 3 0
469 7 1
244 13 1
471 4 1
458 12 0
464 0 1
247 2 0
490 5 1
489 1 0
466 12 0
470 7 0
466 1 0
891 7 1
462 3 0
464 10 1
246 1 1
467 0 1
491 15 1
472 14 0
465 0 0
463 15 0
465 12 1
466 8 1
464 14 0
470 1 1
1000 10 0
467 12 0
467 3 0
465 13 0
507 10 1
472 4 1
466 15 0
470 2 1
466 11 0
469 13 0
469 6 0
470 12 1
471 5 1
473 3 0
470 1 0
473 13 0
464 15 0
474 0 1
251 13 0
466 15 1
464 12 0
472 3 0
474 5 0
472 10 0
470 10 1
465 6 0
467 14 0
984 13 1
465 4 0
471 5 0
471 15 1
248 10 0
468 2 1
470 10 1
468 2 0
463 8 1
466 1 1
464 14 1
472 1 0
469 3 0
469 11 0
467 5 1
467 10 0
469 1 0
469 5 1
464 13 1
469 3 0
471 11 0
246 8 1
464 9 1
468 4 0
245 13 0
470 7 0
470 5 0
979 9 0
471 9 0
475 6 1
471 3 0
469 8 0
466 8 0
468 7 0
466 1 0
468 1 0
470 6 0
470 7 0
468 11 0
464 12 1
472 1 1
468 0 1
472 0 1
468 8 0
472 10 0
247 10 0
472 3 0
472 8 0
468 0 0
470 9 0
468 4 0
471 2 0
499 6 0
462 2 0
1000 2 1
467 4 0
466 7 1
466 0 1
468 0 0
468 15 1
466 11 0
458 15 0
463 7 0
245 7 1
467 15 0
465 2 0
245 14 0
468 8 0
472 3 0
466 0 1
472 2 0
468 10 0
247 0 0
468 15 0
468 5 1
249 15 1
466 9 1
464 12 0
245 1 0
472 9 1
247 9 1
1000 6 0
470 3 0
470 12 0
466 4 1
464 8 0
466 2 0
466 0 0
470 8 0
474 3 0
472 6 1
470 10 0
462 15 0
470 9 0
1000 2 0
466 8 0
470 5 1
247 0 0
472 8 0
468 12 0
466 6 0
459 4 0
473 3 0
464 14 1
468 5 1
468 9 1
469 10 0
463 14 0
471 14 1
467 1 0
473 7 0
465 15 1
469 10 0
473 10 0
249 9 0
464 4 0
459 6 0
468 12 0
470 2 1
245 14 0
250 7 1
1000 1 0
245 14 1
470 5 0
464 11 1
466 14 0
463 14 0
466 15 1
470 3 0
472 3 0
467 15 1
475 3 0
467 1 0
467 0 0
1000 13 0
475 3 0
466 2 1
475 9 1
477 5 1
468 3 0
468 4 0
471 5 0
467 7 0
471 6 1
469 10 0
469 13 1
473 15 0
1000 10 0
505 11 1
1000 6 0
501 0 1
267 12 0
476 6 0
290 5 1
