flush cache
213 33
241 32
250 35
243 34
259 31
242 34
1000 34
240 33
217 32
205 33
251 32
243 31
251 34
251 33
250 34
240 35
254 33
254 31
237 33
253 34
253 33
244 33
241 34
243 33
215 31
240 35
241 35
241 32
254 35
250 33
243 35
209 34
251 32
217 34
249 31
212 33
252 32
245 34
302 32
244 32
237 33
239 34
241 32
247 34
257 34
239 34
1000 34
207 32
249 34
255 34
245 34
203 31
244 32
243 35
256 35
206 35
246 33
243 34
241 32
242 34
241 35
251 32
240 32
241 35
249 34
243 33
252 35
241 33
253 31
252 33
253 32
241 34
252 34
247 33
255 31
243 33
239 32
219 34
201 34
206 34
240 34
239 33
211 33
205 34
241 32
1000 31
243 31
211 31
205 33
211 34
251 34
209 33
245 35
244 34
251 34
249 34
205 34
244 34
257 32
253 34
240 32
243 32
217 33
264 39
241 34
246 33
237 34
254 35
253 33
249 33
242 31
256 31
238 32
243 34
238 34
241 33
243 32
243 32
251 31
250 34
243 34
251 34
244 31
242 33
249 35
251 33
1000 34
243 35
244 32
215 35
251 35
243 32
221 35
241 34
237 34
251 32
251 35
217 31
256 34
239 33
239 32
249 32
239 32
249 32
239 34
298 35
253 33
253 33
250 34
253 34
258 31
248 31
250 33
251 34
249 33
249 33
252 32
252 34
254 31
245 31
254 33
268 34
252 35
253 31
215 34
251 33
1000 33
263 33
256 32
244 33
241 32
244 32
241 34
256 32
245 30
245 34
239 34
255 34
249 32
215 31
245 32
253 31
242 32
241 32
247 34
242 33
256 32
239 34
249 34
239 33
250 34
244 34
251 31
241 33
248 31
252 34
253 33
261 34
271 33
249 31
245 31
242 32
239 32
256 31
209 32
205 33
247 32
971 34
245 35
241 34
241 34
244 31
240 33
255 34
271 32
243 32
241 33
249 33
298 32
259 33
249 32
247 34
252 33
243 33
251 33
251 33
243 32
252 33
215 33
209 32
255 35
256 34
205 35
241 33
238 34
250 33
247 34
252 31
213 39
250 33
243 33
248 33
241 34
253 33
241 32
249 34
253 34
1000 34
255 34
248 32
249 32
248 33
252 33
246 31
227 33
239 34
256 34
241 32
240 32
251 33
254 31
241 31
247 35
245 32
253 33
246 33
241 34
243 32
253 33
251 33
254 32
239 34
257 34
254 32
256 31
255 33
248 34
249 33
254 35
249 33
241 34
246 32
245 33
241 32
239 35
1000 32
251 32
249 34
244 31
242 32
244 32
254 32
240 33
254 32
268 32
245 33
261 32
243 31
217 34
257 32
247 34
252 32
243 33
240 32
244 34
274 33
250 33
241 33
257 33
253 31
253 33
245 34
247 34
243 34
245 32
241 34
251 31
245 34
258 35
253 37
242 32
261 33
241 33
254 33
252 34
243 32
251 32
250 34
241 32
240 33
255 34
248 33
241 37
256 34
253 32
254 33
215 32
256 32
257 31
254 34
261 32
242 35
239 32
255 32
243 33
246 35
211 33
204 35
250 35
253 33
251 32
251 31
240 32
243 34
246 31
253 35
245 33
255 34
240 34
241 31
253 32
244 31
1000 31
250 34
239 34
203 34
243 34
270 33
248 35
249 33
258 31
239 32
252 34
248 33
251 33
241 33
208 33
242 32
253 33
242 34
241 33
239 33
254 32
243 33
276 33
248 34
249 33
248 35
254 34
239 32
238 32
268 33
241 31
241 31
243 33
241 35
251 31
245 33
245 32
250 33
251 33
269 32
1000 35
259 32
246 34
254 35
241 34
241 34
251 33
251 34
251 33
248 33
251 34
239 35
263 32
243 34
249 32
252 33
253 33
249 34
241 33
240 32
253 31
246 35
264 34
201 34
246 34
241 33
239 31
240 32
268 34
244 34
246 31
251 35
245 33
250 33
243 32
240 34
272 34
1000 32
243 34
241 34
254 34
252 32
247 32
203 32
262 32
241 31
243 31
248 33
250 33
250 34
242 34
257 32
249 33
254 33
243 32
245 32
255 31
243 34
245 34
245 31
268 34
253 32
243 34
242 34
243 33
244 31
268 32
247 32
249 32
241 31
240 32
244 34
256 34
241 32
243 33
266 32
211 34
244 35
878 34
256 33
254 33
252 32
266 35
245 33
255 33
248 32
243 31
264 32
243 34
242 34
256 32
245 32
245 33
254 33
252 34
270 35
252 32
251 34
241 33
251 32
245 33
250 32
247 35
263 34
253 32
241 31
249 31
242 33
261 35
258 33
215 35
243 31
251 33
239 34
1000 34
241 32
244 33
237 33
242 34
266 33
242 31
239 33
266 34
246 32
244 31
243 35
252 33
251 33
213 35
250 31
250 34
251 32
258 32
250 35
243 32
251 34
251 32
241 34
262 33
241 32
264 32
247 32
203 32
251 34
248 35
250 34
254 33
259 34
245 33
239 34
241 33
241 31
249 32
238 35
266 32
241 34
1000 32
